Function,Core Position Cluster,Core Position Cluster Definition,Core Position,Core Position Main Objective,Skill,Skill Definition,Functional / Soft Skill,Required Proficiency Level,Proficiency Value,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including PC),,Drug development expertise,Highly knowledgeable & comfortable discussing the rationale of decisions made per functional unit,Functional Skill,Beginner,1,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including PC),,Project Management skills,"Applies PM methodology & tools to develop & maintain integrated project plan, manage timeline, budget, resources & risk mitigations to ensure operations aspects are on scope/schedule/quality. Efficiently multitasks, maintains & inculcates accountability across multiple projects & pays keen attention to detail.",Functional Skill,Advanced,4,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including PC),,Organizational knowledge and network,Knows the internal workings of the company & has process knowledge & connections that help with identifying effective solutions,Functional Skill,Advanced,4,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including PC),,Strategic Thinking,"Excels at agility, entrepreneurship and strategic reasoning. Works with GPH to incorporate optionality into high level strategy & pragmatically translates strategy to a project plan",Soft Skill,Beginner,1,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including PC),,Matrix leadership skills,"Has high emotional intelligence with ability to influence others without authority. Demonstrates & spreads culture of ownership, trust & excellence to drive strategy execution",Soft Skill,Proficient,3,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including PC),,Communication,Has effective verbal & written communication. Identifies loose ends & proactively ensures informatio flows cross functionally & across leadership levels while bringing a sense of executive presence to the audience.,Soft Skill,Proficient,3,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. RPM),,Drug development expertise,Highly knowledgeable & comfortable discussing the rationale of decisions made per functional unit,Functional Skill,Intermediate,2,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. RPM),,Project Management skills,"Applies PM methodology & tools to develop & maintain integrated project plan, manage timeline, budget, resources & risk mitigations to ensure operations aspects are on scope/schedule/quality. Efficiently multitasks, maintains & inculcates accountability across multiple projects & pays keen attention to detail.",Functional Skill,Advanced,4,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. RPM),,Organizational knowledge and network,Knows the internal workings of the company & has process knowledge & connections that help with identifying effective solutions,Functional Skill,Advanced,4,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. RPM),,Strategic Thinking,"Excels at agility, entrepreneurship and strategic reasoning. Works with GPH to incorporate optionality into high level strategy & pragmatically translates strategy to a project plan",Soft Skill,Advanced,4,,
