Function,Core Position Cluster,Core Position Cluster Definition,Core Position,Core Position Main Objective,Skill,Skill Definition,Functional / Soft Skill,Required Proficiency Level,Proficiency Value,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including Project Coordination),"Facilitating Global Project Team operations, scheduling meetings, developing agendas, sharing pre-reads, circulating minutes, and tracking action items. Maintain templates for documentation, organize program management workshops, and provide formatting support for strategic documents. Logistics for meetings and events.",Drug development expertise,Highly knowledgeable & comfortable discussing the rationale of decisions made per functional unit,Functional Skill,Intermediate,2,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including Project Coordination),"Facilitating Global Project Team operations, scheduling meetings, developing agendas, sharing pre-reads, circulating minutes, and tracking action items. Maintain templates for documentation, organize program management workshops, and provide formatting support for strategic documents. Logistics for meetings and events.",Project Management skills,"Applies PM methodology & tools to develop & maintain integrated project plan, manage timeline, budget, resources & risk mitigations to ensure operations aspects are on scope/schedule/quality. Efficiently multitasks, maintains & inculcates accountability across multiple projects & pays keen attention to detail.",Functional Skill,Proficient,3,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including Project Coordination),"Facilitating Global Project Team operations, scheduling meetings, developing agendas, sharing pre-reads, circulating minutes, and tracking action items. Maintain templates for documentation, organize program management workshops, and provide formatting support for strategic documents. Logistics for meetings and events.",Organizational knowledge and network,Knows the internal workings of the company & has process knowledge & connections that help with identifying effective solutions,Functional Skill,Proficient,3,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including Project Coordination),"Facilitating Global Project Team operations, scheduling meetings, developing agendas, sharing pre-reads, circulating minutes, and tracking action items. Maintain templates for documentation, organize program management workshops, and provide formatting support for strategic documents. Logistics for meetings and events.",Strategic Thinking,"Excels at agility, entrepreneurship and strategic reasoning. Works with GPH to incorporate optionality into high level strategy & pragmatically translates strategy to a project plan",Soft Skill,Intermediate,2,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including Project Coordination),"Facilitating Global Project Team operations, scheduling meetings, developing agendas, sharing pre-reads, circulating minutes, and tracking action items. Maintain templates for documentation, organize program management workshops, and provide formatting support for strategic documents. Logistics for meetings and events.",Matrix leadership skills,"Has high emotional intelligence with ability to influence others without authority. Demonstrates & spreads culture of ownership, trust & excellence to drive strategy execution",Soft Skill,Intermediate,2,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including Project Coordination),"Facilitating Global Project Team operations, scheduling meetings, developing agendas, sharing pre-reads, circulating minutes, and tracking action items. Maintain templates for documentation, organize program management workshops, and provide formatting support for strategic documents. Logistics for meetings and events.",Communication,Has effective verbal & written communication. Identifies loose ends & proactively ensures informatio flows cross functionally & across leadership levels while bringing a sense of executive presence to the audience.,Soft Skill,Intermediate,2,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. Regional Project Manager),"Accountable for planning, action item tracking, executing, monitoring, and closing projects, managing project timelines, budgets, and quality, supporting program communication and ensuring information flow. Facilitates knowledge transfer during in- or out-licensing activities. ",Drug development expertise,Highly knowledgeable & comfortable discussing the rationale of decisions made per functional unit,Functional Skill,Proficient,3,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. Regional Project Manager),"Accountable for planning, action item tracking, executing, monitoring, and closing projects, managing project timelines, budgets, and quality, supporting program communication and ensuring information flow. Facilitates knowledge transfer during in- or out-licensing activities. ",Project Management skills,"Applies PM methodology & tools to develop & maintain integrated project plan, manage timeline, budget, resources & risk mitigations to ensure operations aspects are on scope/schedule/quality. Efficiently multitasks, maintains & inculcates accountability across multiple projects & pays keen attention to detail.",Functional Skill,Advanced,4,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. Regional Project Manager),"Accountable for planning, action item tracking, executing, monitoring, and closing projects, managing project timelines, budgets, and quality, supporting program communication and ensuring information flow. Facilitates knowledge transfer during in- or out-licensing activities. ",Organizational knowledge and network,Knows the internal workings of the company & has process knowledge & connections that help with identifying effective solutions,Functional Skill,Advanced,4,,
GPM,Global Program Management,"Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. Regional Project Manager),"Accountable for planning, action item tracking, executing, monitoring, and closing projects, managing project timelines, budgets, and quality, supporting program communication and ensuring information flow. Facilitates knowledge transfer during in- or out-licensing activities. ",Strategic Thinking,"Excels at agility, entrepreneurship and strategic reasoning. Works with GPH to incorporate optionality into high level strategy & pragmatically translates strategy to a project plan",Soft Skill,Proficient,3,,
